Flight Number,Airline,Departure Code,Departure Airport,Arrival Code,Arrival Airport,Scheduled Departure,Estimated Departure,Scheduled Arrival,Estimated Arrival,Flight Status,Departure Weather,Arrival Weather
JB691,Delta Airlines,DEN,Denver International Airport,JFK,John F. Kennedy International Airport,2025-03-20 20:25:00,2025-03-20 21:25:00,2025-03-20 23:25:00,2025-03-21 00:25:00,Cancelled,Rainy,Sunny
SW982,JetBlue Airways,MIA,Miami International Airport,MCO,Orlando International Airport,2025-03-20 10:05:00,2025-03-20 10:10:00,2025-03-20 16:05:00,2025-03-20 13:10:00,On Time,Clear,Rainy
JB247,JetBlue Airways,JFK,John F. Kennedy International Airport,MIA,Miami International Airport,2025-03-20 23:25:00,2025-03-20 23:25:00,2025-03-21 05:25:00,2025-03-21 05:25:00,On Time,Foggy,Sunny
SW788,JetBlue Airways,JFK,John F. Kennedy International Airport,GNV,Gainesville Regional Airport,2025-03-20 08:09:00,2025-03-20 08:09:00,2025-03-20 14:09:00,2025-03-20 14:09:00,On Time,Sunny,Sunny
JB246,JetBlue Airways,LAX,Los Angeles International Airport,DEN,Denver International Airport,2025-03-20 18:52:00,2025-03-20 19:07:00,2025-03-20 22:52:00,2025-03-21 00:07:00,Cancelled,Rainy,Clear
UA246,American Airlines,ORD,O'Hare International Airport,JFK,John F. Kennedy International Airport,2025-03-21 05:21:00,2025-03-21 05:51:00,2025-03-21 07:21:00,2025-03-21 10:51:00,Cancelled,Stormy,Cloudy
AA222,United Airlines,ORD,O'Hare International Airport,SFO,San Francisco International Airport,2025-03-20 21:32:00,2025-03-20 21:37:00,2025-03-20 23:32:00,2025-03-20 23:37:00,Delayed,Cloudy,Rainy
SW106,Delta Airlines,LAX,Los Angeles International Airport,SFO,San Francisco International Airport,2025-03-20 18:11:00,2025-03-20 18:26:00,2025-03-20 20:11:00,2025-03-20 21:26:00,Delayed,Rainy,Sunny
DL504,JetBlue Airways,ORD,O'Hare International Airport,GNV,Gainesville Regional Airport,2025-03-20 18:14:00,2025-03-20 19:14:00,2025-03-20 22:14:00,2025-03-21 00:14:00,Delayed,Stormy,Clear
DL477,United Airlines,LAS,Harry Reid International Airport,SFO,San Francisco International Airport,2025-03-20 07:02:00,2025-03-20 07:02:00,2025-03-20 12:02:00,2025-03-20 11:02:00,On Time,Clear,Cloudy
DL661,United Airlines,DFW,Dallas/Fort Worth International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,2025-03-21 03:26:00,2025-03-21 03:41:00,2025-03-21 05:26:00,2025-03-21 05:41:00,Delayed,Stormy,Sunny
JB522,American Airlines,LAX,Los Angeles International Airport,GNV,Gainesville Regional Airport,2025-03-21 04:55:00,2025-03-21 05:25:00,2025-03-21 09:55:00,2025-03-21 11:25:00,On Time,Stormy,Foggy
JB445,American Airlines,SEA,Seattle-Tacoma International Airport,SFO,San Francisco International Airport,2025-03-21 03:30:00,2025-03-21 04:30:00,2025-03-21 08:30:00,2025-03-21 08:30:00,Cancelled,Foggy,Cloudy
